winner,game_id,team,feudal_age_uptime,castle_age_uptime,imperial_age_uptime,old_rating,new_rating,match_rating_diff,replay_summary_raw,profile_id,civ,opening
True,365008277,1,,,,907,921,-40.0,{},18272551,berbers,
False,365008277,0,,,,935,914,40.0,{},3527354,romans,
True,365008277,1,,,,801,820,-40.0,{},6079527,turks,
False,365008277,0,,,,817,780,40.0,{},21831310,mongols,
True,365008277,1,,,,822,840,-40.0,{},21705490,franks,
False,365008277,0,,,,887,868,40.0,{},1566405,spanish,
True,365008277,1,,,,800,819,-40.0,{},633414,huns,
False,364819804,0,,,,894,879,-26.0,{},5695956,khmer,
True,364819804,1,,,,920,935,26.0,{},12299822,malians,
True,364772571,0,,,,921,936,18.0,{},5422119,cumans,
False,364772571,1,,,,903,885,-18.0,{},21597481,huns,
True,364968192,0,,,,923,940,-19.0,{},6139339,franks,
False,364968192,1,,,,942,925,19.0,{},13668145,goths,
True,364852840,0,,,,675,688,73.0,{},191105,ethiopians,
False,364852840,1,,,,602,589,-73.0,{},20853920,tatars,
False,364772055,0,,,,1270,1254,-8.0,{},292516,persians,
True,364772055,1,,,,1255,1271,8.0,{},5857876,persians,
False,364772055,0,,,,1238,1223,-8.0,{},15409566,lithuanians,
True,364772055,1,,,,1269,1284,8.0,{},3444829,celts,
False,364834665,0,,,,881,842,19.0,{},21773197,turks,
True,364834665,1,,,,862,908,-19.0,{},9474138,bohemians,
True,364855039,0,,,,811,829,-11.666666666666629,{},16833514,bohemians,
False,364855039,1,,,,877,859,11.666666666666629,{},14894915,celts,
True,364855039,0,,,,803,821,-11.666666666666629,{},17257360,turks,
False,364855039,1,,,,834,818,11.666666666666629,{},1645872,portuguese,
True,364855039,0,,,,885,899,-11.666666666666629,{},10907717,koreans,
False,364855039,1,,,,823,807,11.666666666666629,{},1840985,chinese,
False,364964028,0,,,,752,721,35.25,{},4230537,burgundians,
True,364964028,1,,,,789,805,-35.25,{},15196251,mongols,
False,364964028,0,,,,781,762,35.25,{},1022669,ethiopians,
True,364964028,1,,,,767,784,-35.25,{},765656,celts,
False,364964028,0,,,,816,771,35.25,{},4335774,khmer,
True,364964028,1,,,,758,776,-35.25,{},2200169,byzantines,
False,364964028,0,,,,844,793,35.25,{},15141133,turks,
True,364964028,1,,,,738,757,-35.25,{},2212357,teutons,
True,364816103,0,,,,732,754,27.0,{},20896887,bengalis,
False,364816103,1,,,,705,690,-27.0,{},21274463,lithuanians,
False,364847673,0,,,,1082,1064,2.0,{},288688,ethiopians,
True,364847673,1,,,,1051,1067,-2.0,{},3780775,franks,
False,364847673,0,,,,1012,998,2.0,{},16923345,burgundians,
True,364847673,1,,,,1039,1055,-2.0,{},12317441,khmer,
True,364812791,0,,,,331,348,-15.0,{},12097810,spanish,
False,364812791,1,,,,346,329,15.0,{},21834318,mayans,
False,364808127,0,,,,1049,1034,-55.000000000000114,{},6892766,teutons,
True,364808127,1,,,,1075,1088,55.000000000000114,{},15035827,turks,
False,364808127,0,,,,973,961,-55.000000000000114,{},6843170,spanish,
True,364808127,1,,,,1030,1045,55.000000000000114,{},21834942,byzantines,
False,364808127,0,,,,1016,1002,-55.000000000000114,{},7765509,turks,
True,364808127,1,,,,1098,1110,55.000000000000114,{},16158836,malians,
False,364761859,0,,,,866,847,-13.666666666666742,{},10780685,byzantines,
True,364761859,1,,,,848,864,13.666666666666742,{},19377268,goths,
False,364761859,0,,,,753,742,-13.666666666666742,{},9012318,franks,
True,364761859,1,,,,856,872,13.666666666666742,{},19606995,franks,
False,364761859,0,,,,924,868,-13.666666666666742,{},248450,vietnamese,
True,364761859,1,,,,880,894,13.666666666666742,{},12126086,koreans,
False,364981766,0,,,,936,922,-12.0,{},17318781,bulgarians,
True,364981766,1,,,,969,984,12.0,{},4588876,berbers,
False,364981766,0,,,,979,963,-12.0,{},11486755,sicilians,
True,364981766,1,,,,970,985,12.0,{},4588885,britons,
False,364958672,0,,,,745,731,2.0,{},18836651,teutons,
True,364958672,1,,,,752,769,-2.0,{},9023475,franks,
False,364958672,0,,,,821,772,2.0,{},8348532,dravidians,
True,364958672,1,,,,810,825,-2.0,{},2117208,persians,
True,364819120,0,,,,1613,1631,-44.0,{},17210615,saracens,
False,364819120,1,,,,1657,1639,44.0,{},2143227,saracens,
True,365018720,0,,,,1186,1203,31.5,{},6435927,lithuanians,
False,365018720,1,,,,1136,1125,-31.5,{},319258,saracens,
True,365018720,0,,,,1136,1155,31.5,{},16253660,mongols,
False,365018720,1,,,,1175,1162,-31.5,{},2813868,koreans,
True,365018720,0,,,,1314,1325,31.5,{},3443877,britons,
False,365018720,1,,,,1225,1210,-31.5,{},16744914,gurjaras,
True,365018720,0,,,,1336,1346,31.5,{},11253521,incas,
False,365018720,1,,,,1310,1291,-31.5,{},1015993,franks,
False,365009102,0,,,,470,456,-35.0,{},17883299,cumans,
True,365009102,1,,,,505,519,35.0,{},9550866,sicilians,
True,364971261,0,,,,977,991,38.0,{},1567819,chinese,
False,364971261,1,,,,939,925,-38.0,{},20347923,sicilians,
False,364901823,0,,,,623,608,-11.0,{},8729048,tatars,
True,364901823,1,,,,634,649,11.0,{},10177094,byzantines,
True,365005700,0,,,,1263,1278,-22.333333333333258,{},12344054,mongols,
False,365005700,1,,,,1402,1378,22.333333333333258,{},8719381,hindustanis,
True,365005700,0,,,,1138,1159,-22.333333333333258,{},4647899,spanish,
False,365005700,1,,,,1156,1143,22.333333333333258,{},5320172,khmer,
True,365005700,0,,,,1273,1288,-22.333333333333258,{},10588316,cumans,
False,365005700,1,,,,1183,1169,22.333333333333258,{},15290653,bohemians,
False,365022259,0,,,,1371,1354,-8.5,{},11007993,poles,
True,365022259,1,,,,1348,1364,8.5,{},1344602,khmer,
False,365022259,0,,,,1220,1210,-8.5,{},17001007,aztecs,
True,365022259,1,,,,1076,1102,8.5,{},4378731,georgians,
False,365022259,0,,,,1254,1243,-8.5,{},18634874,dravidians,
True,365022259,1,,,,1487,1497,8.5,{},2867169,turks,
False,365022259,0,,,,1548,1524,-8.5,{},15693918,koreans,
True,365022259,1,,,,1516,1525,8.5,{},5633004,spanish,
True,364840443,0,,,,874,890,-2.0,{},18698810,spanish,
False,364840443,1,,,,876,836,2.0,{},11578840,magyars,
True,364988488,0,,,,999,1015,-2.0,{},20005689,celts,
False,364988488,1,,,,1001,985,2.0,{},5832653,vietnamese,
True,364987134,0,,,,395,415,-89.0,{},21540388,burgundians,
False,364987134,1,,,,484,464,89.0,{},20396647,sicilians,
True,365005506,0,,,,1441,1460,-56.5,{},3020043,dravidians,
False,365005506,1,,,,1429,1414,56.5,{},401354,vikings,
True,365005506,0,,,,1442,1461,-56.5,{},15769310,byzantines,
False,365005506,1,,,,1567,1545,56.5,{},10581238,poles,
False,364817607,0,,,,496,481,-16.0,{},21608459,portuguese,
True,364817607,1,,,,512,527,16.0,{},17967898,celts,
False,365174910,0,,,,1646,1631,-27.0,{},4325248,mongols,
True,365174910,1,,,,1673,1688,27.0,{},236788,britons,
False,365041306,0,,,,1635,1620,-26.0,{},5631565,bohemians,
True,365041306,1,,,,1661,1676,26.0,{},1777971,persians,
False,365117917,0,,,,1632,1619,-56.0,{},6687067,goths,
True,365117917,1,,,,1688,1701,56.0,{},6154760,japanese,
False,365118836,0,,,,1607,1593,-37.0,{},675679,turks,
True,365118836,1,,,,1644,1658,37.0,{},454934,magyars,
True,365109919,0,,,,1542,1551,197.5,{},310919,cumans,
False,365109919,1,,,,1406,1397,-197.5,{},3635994,armenians,
True,365109919,0,,,,1585,1592,197.5,{},915254,berbers,
False,365109919,1,,,,1326,1319,-197.5,{},1452549,huns,
False,365155439,0,,,,1270,1257,-57.0,{},582263,huns,
True,365155439,1,,,,1327,1340,57.0,{},4772786,aztecs,
False,365107478,0,,,,1271,1253,5.0,{},427965,celts,
True,365107478,1,,,,1213,1230,-5.0,{},12400453,cumans,
False,365107478,0,,,,1262,1245,5.0,{},9349472,italians,
True,365107478,1,,,,1263,1278,-5.0,{},1449640,turks,
False,365107478,0,,,,1192,1178,5.0,{},3574144,lithuanians,
True,365107478,1,,,,1234,1250,-5.0,{},18983114,mongols,
True,365054304,0,,,,1456,1473,-27.0,{},10107773,berbers,
False,365054304,1,,,,1483,1466,27.0,{},2068577,italians,
False,365169138,0,,,,1377,1360,11.0,{},1869101,mongols,
True,365169138,1,,,,1370,1386,-11.0,{},4677434,burmese,
False,365169138,0,,,,1370,1354,11.0,{},1902497,berbers,
True,365169138,1,,,,1355,1372,-11.0,{},5800609,koreans,
True,365055293,0,,,,1188,1201,42.5,{},2516815,byzantines,
False,365055293,1,,,,1154,1139,-42.5,{},21033910,bengalis,
True,365055293,0,,,,1164,1179,42.5,{},2643863,portuguese,
False,365055293,1,,,,1113,1100,-42.5,{},6294552,persians,
False,365155992,0,,,,663,647,-3.0,{},21816403,turks,
True,365155992,1,,,,666,682,3.0,{},11195704,khmer,
True,365155260,0,,,,976,991,22.5,{},306695,romans,
False,365155260,1,,,,987,971,-22.5,{},4815288,poles,
True,365155260,0,,,,990,1005,22.5,{},17437394,goths,
False,365155260,1,,,,996,979,-22.5,{},3329659,goths,
True,365155260,0,,,,1023,1036,22.5,{},4422580,celts,
False,365155260,1,,,,929,916,-22.5,{},270239,britons,
True,365155260,0,,,,952,968,22.5,{},21587145,dravidians,
False,365155260,1,,,,939,925,-22.5,{},12073374,persians,
False,365180902,0,,,,649,615,-9.0,{},1954012,koreans,
True,365180902,1,,,,658,674,9.0,{},20528796,vikings,
False,365190820,0,,,,975,960,-13.0,{},5324630,huns,
True,365190820,1,,,,988,1003,13.0,{},981611,magyars,
False,365095727,0,,,,1015,1000,-0.5,{},12480807,franks,
True,365095727,1,,,,1023,1039,0.5,{},5130571,magyars,
False,365095727,0,,,,1044,1027,-0.5,{},4802348,romans,
True,365095727,1,,,,1037,1053,0.5,{},217021,franks,
