map,started_timestamp,duration,irl_duration,game_id,avg_elo,num_players,team_0_elo,team_1_elo,replay_enhanced,leaderboard,mirror,patch,raw_match_type,game_type,game_speed,starting_age
black_forest,2025-01-17 02:44:07+00:00,0 days 00:45:26.800000,0 days 00:26:44,365806356,1095.0,4,1098.5,1091.5,False,co_team_random_map,False,125283,67,random_map,normal,dark
arabia,2025-01-15 23:59:54+00:00,0 days 00:56:21.300000,0 days 00:33:09,365586533,923.5,2,900.0,947.0,False,random_map,False,125283,6,random_map,normal,dark
african_clearing,2025-01-16 06:06:19+00:00,0 days 00:41:08.400000,0 days 00:24:12,365632516,1400.5,2,1341.0,1460.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-15 19:35:45+00:00,0 days 00:20:05.300000,0 days 00:11:49,365539157,1349.5,2,1364.0,1335.0,False,random_map,False,125283,6,random_map,normal,dark
gold_rush,2025-01-15 06:51:21+00:00,0 days 01:01:57.900000,0 days 00:36:27,365440731,1246.8333333333333,6,1253.3333333333333,1240.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark
arabia,2025-01-16 17:00:23+00:00,0 days 01:02:33.600000,0 days 00:36:48,365705173,1327.5,2,1321.0,1334.0,False,random_map,False,125283,6,random_map,normal,dark
arena,2025-01-15 14:47:51+00:00,0 days 00:44:56.200000,0 days 00:26:26,365489350,1900.0,2,1849.0,1951.0,False,co_random_map,False,125283,66,random_map,normal,dark
acropolis,2025-01-16 20:33:10+00:00,0 days 00:25:16.400000,0 days 00:14:52,365746750,1427.0,2,1425.0,1429.0,False,random_map,False,125283,6,random_map,normal,dark
arena,2025-01-14 15:08:31+00:00,0 days 00:43:32.900000,0 days 00:25:37,365294079,1205.75,8,1207.75,1203.75,False,team_random_map,False,125283,9,random_map,normal,dark
land_nomad,2025-01-12 20:44:52+00:00,0 days 00:58:40.700000,0 days 00:34:31,364947222,1017.3333333333334,6,1019.0,1015.6666666666666,False,team_random_map,False,125283,8,random_map,normal,dark
arabia,2025-01-18 22:55:24+00:00,0 days 01:22:55.900000,0 days 00:48:47,366244573,2455.5,2,2408.0,2503.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-15 01:41:08+00:00,0 days 00:37:58,0 days 00:22:20,365403802,1181.75,4,1175.0,1188.5,False,team_random_map,False,125283,7,random_map,normal,dark
megarandom,2025-01-12 16:41:48+00:00,0 days 00:45:59.100000,0 days 00:27:03,364885919,1166.0,4,1159.0,1173.0,False,team_random_map,False,125283,7,random_map,normal,dark
arena,2025-01-16 19:46:41+00:00,0 days 00:33:03.900000,0 days 00:19:27,365736463,1880.5,2,1879.0,1882.0,False,random_map,False,125283,6,random_map,normal,dark
acropolis,2025-01-12 00:01:55+00:00,0 days 01:12:54.100000,0 days 00:42:53,364717660,741.0,2,736.0,746.0,False,random_map,False,125283,6,random_map,normal,dark
hideout,2025-01-14 12:18:18+00:00,0 days 01:08:51,0 days 00:40:30,365269380,1013.5,2,998.0,1029.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-16 03:54:40+00:00,0 days 00:17:23.800000,0 days 00:10:14,365618797,738.5,2,750.0,727.0,False,random_map,False,125283,6,random_map,normal,dark
african_clearing,2025-01-12 02:27:04+00:00,0 days 00:45:04.700000,0 days 00:26:31,364741717,1331.5,2,1330.0,1333.0,False,random_map,False,125283,6,random_map,normal,dark
arena,2025-01-12 10:20:13+00:00,0 days 00:30:02,0 days 00:17:40,364808127,1040.1666666666667,6,1012.6666666666666,1067.6666666666667,False,team_random_map,False,125283,8,random_map,normal,dark
hideout,2025-01-14 06:05:40+00:00,0 days 00:30:58.100000,0 days 00:18:13,365237721,1336.125,8,1337.0,1335.25,False,team_random_map,False,125283,9,random_map,normal,dark
african_clearing,2025-01-15 00:44:41+00:00,0 days 00:55:59.200000,0 days 00:32:56,365395766,1175.5,2,1174.0,1177.0,False,random_map,False,125283,6,random_map,normal,dark
lombardia,2025-01-13 00:21:39+00:00,0 days 00:34:35.700000,0 days 00:20:21,364991633,1227.25,4,1220.0,1234.5,False,team_random_map,False,125283,7,random_map,normal,dark
hideout,2025-01-12 11:33:51+00:00,0 days 00:33:10.700000,0 days 00:19:31,364819120,1635.0,2,1613.0,1657.0,False,random_map,True,125283,6,random_map,normal,dark
african_clearing,2025-01-14 03:43:44+00:00,0 days 00:54:34.200000,0 days 00:32:06,365222655,1184.5,2,1183.0,1186.0,False,random_map,False,125283,6,random_map,normal,dark
acropolis,2025-01-13 15:50:58+00:00,0 days 00:00:11.900000,0 days 00:00:07,365100256,1111.0,2,1110.0,1112.0,False,random_map,False,125283,6,random_map,normal,dark
arena,2025-01-16 14:01:46+00:00,0 days 00:45:25.100000,0 days 00:26:43,365676914,899.0,2,774.0,1024.0,False,co_random_map,False,125283,66,random_map,normal,dark
arena,2025-01-18 16:15:35+00:00,0 days 01:02:11.500000,0 days 00:36:35,366151102,1053.625,8,1065.25,1042.0,False,team_random_map,False,125283,9,random_map,normal,dark
arabia,2025-01-12 06:41:53+00:00,0 days 00:29:36.500000,0 days 00:17:25,364781354,704.0,4,713.5,694.5,False,team_random_map,False,125283,7,random_map,normal,dark
arabia,2025-01-12 10:11:40+00:00,0 days 00:32:18,0 days 00:19:00,364807054,1341.5,2,1331.0,1352.0,False,random_map,False,125283,6,random_map,normal,dark
acropolis,2025-01-16 20:57:13+00:00,0 days 00:14:10,0 days 00:08:20,365751805,1106.0,2,1095.0,1117.0,False,random_map,False,125283,6,random_map,normal,dark
black_forest,2025-01-13 02:06:05+00:00,0 days 00:18:21.600000,0 days 00:10:48,365008277,852.5,8,872.5,832.5,False,team_random_map,False,125283,9,random_map,normal,dark
arabia,2025-01-15 20:54:35+00:00,0 days 00:27:40.900000,0 days 00:16:17,365555441,1073.0,2,1042.0,1104.0,False,random_map,False,125283,6,random_map,normal,dark
nomad,2025-01-13 01:48:42+00:00,0 days 00:24:57.700000,0 days 00:14:41,365005506,1469.75,4,1441.5,1498.0,False,team_random_map,False,125283,7,random_map,normal,dark
